"filename", "language", "JavaScript", "comment", "blank", "total"
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\controllers\UserController.js", "JavaScript", 5, 1, 1, 7
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\data-access\UserDb.js", "JavaScript", 3, 0, 0, 3
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\middlewares\index.js", "JavaScript", 7, 0, 2, 9
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\middlewares\middleware.js", "JavaScript", 26, 0, 4, 30
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\routes\index.js", "JavaScript", 2, 0, 0, 2
"c:\Users\sting\Desktop\dev\proyects\api-tech\app\tests\users.test.js", "JavaScript", -41, 94, 16, 69
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\auth\controller\authController.js", "JavaScript", 48, 0, 14, 62
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\auth\routes\router.js", "JavaScript", 8, 6, 6, 20
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\auth\service\authService.js", "JavaScript", 47, 5, 17, 69
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\post\controller\postController.js", "JavaScript", 57, 0, 12, 69
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\post\repository\postRepository.js", "JavaScript", 46, 0, 9, 55
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\post\routes\router.js", "JavaScript", 3, 8, 2, 13
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\post\service\postService.js", "JavaScript", 25, 0, 7, 32
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\user\controller\userController.js", "JavaScript", 69, 3, 16, 88
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\user\middleware\authorize.js", "JavaScript", 16, 0, 1, 17
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\user\repository\userRepository.js", "JavaScript", 52, 0, 7, 59
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\user\routes\router.js", "JavaScript", 11, 8, 7, 26
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\api\user\service\userService.js", "JavaScript", 30, 0, 10, 40
"c:\Users\sting\Desktop\dev\proyects\api-tech\src\middlewares\checkAuth.js", "JavaScript", 22, 0, 3, 25
"Total", "-", 436, 125, 134, 695
